"","mu","N","theta","c","comp","n","probWTWin"
"259",1.58489319246111e-08,10000,0.000158489319246111,0.1,0.2,50,0.030876208889565
"260",1.99526231496888e-08,10000,0.000199526231496888,0.1,0.2,50,0.038597569237861
"261",2.51188643150958e-08,10000,0.000251188643150958,0.1,0.2,50,0.0481748303512829
"262",3.16227766016838e-08,10000,0.000316227766016838,0.1,0.2,50,0.0600171707012649
"263",3.98107170553497e-08,10000,0.000398107170553497,0.1,0.2,50,0.0746064787339036
"264",5.01187233627272e-08,10000,0.000501187233627273,0.1,0.2,50,0.092501771174337
"265",6.30957344480193e-08,10000,0.000630957344480193,0.1,0.2,50,0.114338924104337
"266",7.94328234724282e-08,10000,0.000794328234724282,0.1,0.2,50,0.140822305204395
"267",1e-07,10000,0.001,0.1,0.2,50,0.163460096857634
"268",1.25892541179417e-07,10000,0.00125892541179417,0.1,0.2,50,0.17852595543316
"269",1.58489319246111e-07,10000,0.00158489319246111,0.1,0.2,50,0.196795390632599
"270",1.99526231496888e-07,10000,0.00199526231496888,0.1,0.2,50,0.218512089775591
"271",2.51188643150958e-07,10000,0.00251188643150958,0.1,0.2,50,0.243757021191056
"272",3.16227766016838e-07,10000,0.00316227766016838,0.1,0.2,50,0.27348643130926
"273",3.98107170553497e-07,10000,0.00398107170553497,0.1,0.2,50,0.30820737052138
"274",5.01187233627272e-07,10000,0.00501187233627272,0.1,0.2,50,0.348057719235358
"275",6.30957344480193e-07,10000,0.00630957344480193,0.1,0.2,50,0.392550374566086
"276",7.94328234724282e-07,10000,0.00794328234724282,0.1,0.2,50,0.443252460883064
"277",1e-06,10000,0.01,0.1,0.2,50,0.497760193823772
"278",1.25892541179417e-06,10000,0.0125892541179417,0.1,0.2,50,0.556881478741265
"279",1.58489319246111e-06,10000,0.0158489319246111,0.1,0.2,50,0.617526132018323
"280",1.99526231496888e-06,10000,0.0199526231496888,0.1,0.2,50,0.681129538134206
"281",2.51188643150958e-06,10000,0.0251188643150958,0.1,0.2,50,0.741891810517504
"282",3.16227766016838e-06,10000,0.0316227766016838,0.1,0.2,50,0.799209386672137
"283",3.98107170553497e-06,10000,0.0398107170553497,0.1,0.2,50,0.851119725392123
"284",5.01187233627272e-06,10000,0.0501187233627272,0.1,0.2,50,0.895876874762679
"285",6.30957344480194e-06,10000,0.0630957344480194,0.1,0.2,50,0.931263460094807
"286",7.94328234724282e-06,10000,0.0794328234724282,0.1,0.2,50,0.958179630688452
"287",1e-05,10000,0.1,0.1,0.2,50,0.976484766023084
"288",1.25892541179417e-05,10000,0.125892541179417,0.1,0.2,50,0.987880078235796
